Financial Year,ACT,ET,NSW,NT,QLD,SA,TAS,VIC,WA
1990,Not available,0.0034,44.0489,0.8974,22.7871,6.5077,0.5699,44.1788,10.5413
1991,Not available,0.0036,43.5760,0.9186,23.4023,5.3846,0.7556,46.2852,11.3544
1992,Not available,0.0034,44.0688,0.9149,24.6284,5.9752,0.0613,47.5030,11.3813
1993,Not available,0.0051,45.5028,0.9043,26.1942,6.0178,0.0569,45.3134,11.4653
1994,Not available,0.0084,45.8652,0.9098,26.8269,6.1544,0.0648,45.4486,11.7566
1995,Not available,0.0047,47.1671,0.9805,28.6868,5.8289,0.0655,47.8029,12.1173
1996,Not available,0.0089,48.7101,1.1095,29.6989,5.0885,0.0662,49.8623,13.1372
1997,Not available,0.0056,49.4649,1.1622,30.9878,5.3460,0.0662,52.5350,13.1404
1998,Not available,0.0021,50.5183,1.2012,35.2286,5.7003,0.0671,59.1608,13.4643
1999,Not available,0.0058,52.2477,1.2906,36.6482,6.6497,0.0747,61.7600,13.3110
2000,Not available,0.0127,53.7264,1.3956,37.1663,6.9144,0.0649,62.6221,13.7785
2001,Not available,0.0071,56.8491,1.4133,40.7312,7.4442,0.1118,62.2006,14.4702
2002,Not available,0.0077,57.0381,1.4567,43.2238,7.6403,0.1126,60.3587,15.0262
2003,Not available,0.0066,56.6102,1.1321,42.6420,7.9376,0.2956,61.4795,16.4857
2004,Not available,0.0074,58.3532,1.3248,46.1757,7.5450,0.3348,64.6734,16.4355
2005,Not available,0.0073,58.0839,1.3615,47.5514,8.1072,0.4958,63.4928,17.5738
2006,Not available,0.0071,59.5010,1.3566,49.8450,7.9145,0.4773,64.3154,17.8089
2007,Not available,0.0084,61.9136,1.3036,50.0666,9.2876,0.5205,63.2408,17.6929
2008,Not available,0.0271,63.3332,1.6943,49.4795,9.3712,0.6667,63.6849,17.6157
2009,Not available,0.0204,62.8882,1.8453,50.7061,9.0541,0.3890,65.5915,21.1310
2010,Not available,0.0182,59.1794,1.9934,49.1837,8.6607,0.5135,65.2621,20.2165
2011,Not available,0.0344,55.2669,1.8088,46.5406,7.6693,0.6507,64.3604,22.0731
2012,Not available,0.0366,54.8889,1.9078,46.6658,6.5059,0.6658,66.6664,21.7008
2013,Not available,0.0366,52.2575,1.8383,44.7642,5.8105,0.7311,58.9337,22.5951
2014,Not available,0.0366,50.9572,1.9863,42.7079,5.0597,0.4216,56.9416,22.6163
2015,Not available,0.0366,48.3551,1.8780,48.2322,5.3549,0.1081,61.0549,23.9395
2016,Not available,0.0366,51.7944,1.8245,50.1586,5.8328,0.4836,59.2125,25.3933
2017,Not available,0.0366,51.0898,1.8862,51.1559,3.7029,0.4423,56.0929,25.3739
2018,Not available,0.0366,52.0647,2.4202,53.1463,3.7732,0.4683,46.1293,25.2957
2019,Not available,0.0366,51.8807,2.8062,51.7009,3.6094,0.3310,43.6292,25.0483
2020,0.0019,0.0366,49.5589,2.6500,49.4393,3.3401,0.1417,41.6985,25.0981
2021,0.0029,0.0366,46.5517,2.6080,46.9438,2.7701,0.1322,41.2821,22.8103
2022,0.0036,0.0366,43.2650,2.6304,44.9534,2.2237,0.1160,40.0939,23.1646
2023,0.0031,Not available,42.4516,2.4864,44.1065,2.0855,0.1263,38.8434,22.5431
