Jurisdiction,iso_3166_2,YearDur,Year,Fuel,Unit,Quantity
AUS,AU-AUS,1989-90,1989,"Bagasse, wood",GWh,750
AUS,AU-AUS,1989-90,1989,Biogas,GWh,
AUS,AU-AUS,1989-90,1989,Black coal,GWh,87573
AUS,AU-AUS,1989-90,1989,Brown coal,GWh,33594
AUS,AU-AUS,1989-90,1989,Geothermal,GWh,
AUS,AU-AUS,1989-90,1989,Hydro,GWh,14880
AUS,AU-AUS,1989-90,1989,Large-scale solar PV,GWh,
AUS,AU-AUS,1989-90,1989,Natural gas,GWh,14359
AUS,AU-AUS,1989-90,1989,Oil products,GWh,3552
AUS,AU-AUS,1989-90,1989,Other,GWh,
AUS,AU-AUS,1989-90,1989,Small-scale solar PV,GWh,
AUS,AU-AUS,1989-90,1989,Total,GWh,154708
AUS,AU-AUS,1989-90,1989,Total non-renewable,GWh,139078
AUS,AU-AUS,1989-90,1989,Total renewable,GWh,15630
AUS,AU-AUS,1989-90,1989,Wind,GWh,
AUS,AU-AUS,1990-91,1990,"Bagasse, wood",GWh,769
AUS,AU-AUS,1990-91,1990,Biogas,GWh,
AUS,AU-AUS,1990-91,1990,Black coal,GWh,89511
AUS,AU-AUS,1990-91,1990,Brown coal,GWh,36048
AUS,AU-AUS,1990-91,1990,Geothermal,GWh,
AUS,AU-AUS,1990-91,1990,Hydro,GWh,16103
AUS,AU-AUS,1990-91,1990,Large-scale solar PV,GWh,
AUS,AU-AUS,1990-91,1990,Natural gas,GWh,10772
AUS,AU-AUS,1990-91,1990,Oil products,GWh,3396
AUS,AU-AUS,1990-91,1990,Other,GWh,
AUS,AU-AUS,1990-91,1990,Small-scale solar PV,GWh,
AUS,AU-AUS,1990-91,1990,Total,GWh,156599
AUS,AU-AUS,1990-91,1990,Total non-renewable,GWh,139727
AUS,AU-AUS,1990-91,1990,Total renewable,GWh,16872
AUS,AU-AUS,1990-91,1990,Wind,GWh,
AUS,AU-AUS,1991-92,1991,"Bagasse, wood",GWh,670
AUS,AU-AUS,1991-92,1991,Biogas,GWh,
AUS,AU-AUS,1991-92,1991,Black coal,GWh,94325.1
AUS,AU-AUS,1991-92,1991,Brown coal,GWh,34559
AUS,AU-AUS,1991-92,1991,Geothermal,GWh,
AUS,AU-AUS,1991-92,1991,Hydro,GWh,15768
AUS,AU-AUS,1991-92,1991,Large-scale solar PV,GWh,
AUS,AU-AUS,1991-92,1991,Natural gas,GWh,11633
AUS,AU-AUS,1991-92,1991,Oil products,GWh,2362
AUS,AU-AUS,1991-92,1991,Other,GWh,
AUS,AU-AUS,1991-92,1991,Small-scale solar PV,GWh,10.9
AUS,AU-AUS,1991-92,1991,Total,GWh,159328
AUS,AU-AUS,1991-92,1991,Total non-renewable,GWh,142879.1
