Financial Year,1 Energy (Mt),2 Industrial Processes (Mt),3 Agriculture (Mt),"4 Land Use, Land-Use Change and Forestry UNFCCC (Mt)",5 Waste (Mt),7 Other (Mt)
1990,297.3390,25.1133,94.2426,180.7017,23.4623,Not available
1991,299.0225,24.3075,93.6442,161.2191,23.3825,Not available
1992,305.3761,24.8829,90.7736,118.3050,23.1162,Not available
1993,308.5665,24.6258,88.2940,96.9554,22.9346,Not available
1994,309.4290,24.8738,88.1766,86.1122,22.1621,Not available
1995,321.9602,24.6373,84.6745,64.8811,22.0909,Not available
1996,328.3712,24.3429,86.6524,60.4416,20.2225,Not available
1997,339.5984,24.4151,87.7296,46.9039,19.9120,Not available
1998,353.7818,25.4675,87.7268,50.7428,19.0871,Not available
1999,359.2792,25.9131,87.5511,65.5071,19.2114,Not available
2000,368.2917,25.7618,91.0030,75.5433,18.5690,Not available
2001,376.0901,26.5929,89.9152,83.1042,18.8716,Not available
2002,379.4428,27.0525,89.6778,83.7587,18.9246,Not available
2003,385.2968,29.5224,84.2202,82.7528,16.3083,Not available
2004,395.8218,30.8211,87.4613,49.7002,15.8678,Not available
2005,402.4666,30.1252,86.6886,76.9372,15.7140,Not available
2006,408.4575,30.6104,85.5946,108.3106,15.4600,Not available
2007,417.1675,32.6535,82.1081,83.0005,15.8515,Not available
2008,422.5417,32.6677,79.3858,69.8071,16.3691,Not available
2009,427.1897,30.4990,79.3291,62.1304,16.1906,Not available
2010,421.9490,33.5272,76.7227,68.3819,16.0386,Not available
2011,418.7990,34.3550,81.2045,35.6163,15.5783,Not available
2012,423.2434,32.0004,82.5822,8.5414,14.2452,Not available
2013,418.0898,29.7803,83.0039,18.8692,13.2702,Not available
2014,410.4033,29.7096,83.2372,8.1917,13.2184,Not available
2015,421.7932,30.5128,80.0906,-4.9709,12.7082,Not available
2016,430.9560,30.6027,78.6363,-56.4291,13.0691,Not available
2017,434.8838,31.1903,83.2194,-25.8894,13.3167,Not available
2018,437.0822,31.7507,82.2367,-55.5517,12.8046,Not available
2019,435.5791,32.4960,75.9512,-61.0274,13.2556,Not available
2020,419.2649,31.8564,73.7688,-60.6375,13.4578,Not available
2021,404.4629,32.7542,78.7594,-89.6418,13.5899,Not available
2022,397.0636,32.8852,79.6337,-83.0019,14.0402,Not available
2023,397.9829,32.9866,82.3884,-73.7014,13.7924,Not available
